form	lemma_def	pos	type	src_mot
coni	un	adjectif	qualificatif	
conmunes	commun	adjectif	qualificatif	
connoissables	connaissable	adjectif	qualificatif	
contagieuse	contagieux	adjectif	qualificatif	
contagieuses	contagieux	adjectif	qualificatif	
contante	content	adjectif	qualificatif	
conteeurs	chanteur	adjectif	qualificatif	
contenplative	contemplatif	adjectif	qualificatif	
contentieus	contentieux	adjectif	qualificatif	
continuel	continuel	adjectif	qualificatif	
continuelle	continuel	adjectif	qualificatif	
continuelz	continuel	adjectif	qualificatif	
contrefaictz	contrefait	adjectif	qualificatif	
convignable	convenable	adjectif	qualificatif	
convoiteux	convoiteux	adjectif	qualificatif	
coragos	courageux	adjectif	qualificatif	
coragous	courageux	adjectif	qualificatif	
cornine	cornin	adjectif	qualificatif	
cornualeis	cornillois	adjectif	qualificatif	
corporelle	corporel	adjectif	qualificatif	
corporelles	corporel	adjectif	qualificatif	
correços	courrouceux	adjectif	qualificatif	
correçose	courrouceux	adjectif	qualificatif	
corresouz	courrouceux	adjectif	qualificatif	
corrumpables	corrompable	adjectif	qualificatif	
couenables	convenable	adjectif	qualificatif	
courageuse	courageux	adjectif	qualificatif	
courageux	courageux	adjectif	qualificatif	
couraigeux	courageux	adjectif	qualificatif	
courajeus	courageux	adjectif	qualificatif	
courtheose	cordeux	adjectif	qualificatif	
courtheose	crotteux	adjectif	qualificatif	
courtheose	courtois	adjectif	qualificatif	
courtoises	courtois	adjectif	qualificatif	
courtoiz	courtois	adjectif	qualificatif	
cousterers	coûtereux	adjectif	qualificatif	
cousteuse	coûteux	adjectif	qualificatif	
couteuse	coûteux	adjectif	qualificatif	
couvenable	convenable	adjectif	qualificatif	
couvenables	convenable	adjectif	qualificatif	
couveresses	couveresse	adjectif	qualificatif	
couvoiteus	convoiteux	adjectif	qualificatif	
couvoiteuse	convoiteux	adjectif	qualificatif	
coveitos	convoiteux	adjectif	qualificatif	
coveitus	convoiteux	adjectif	qualificatif	
covoiteus	convoiteux	adjectif	qualificatif	
covoiteuses	convoiteux	adjectif	qualificatif	
coynte	cointe	adjectif	qualificatif	
crapeus	crapeux	adjectif	qualificatif	
creguz	crochu	adjectif	qualificatif	
crestiane	chrétien	adjectif	qualificatif	
crestianne	chrétien	adjectif	qualificatif	
crestienne	chrétien	adjectif	qualificatif	
crestiennes	chrétien	adjectif	qualificatif	
creuse	creux	adjectif	qualificatif	
creuse	crueux	adjectif	qualificatif	
criminelle	criminel	adjectif	qualificatif	
criminelx	criminel	adjectif	qualificatif	
criminelz	criminel	adjectif	qualificatif	
crimineulx	criminel	adjectif	qualificatif	
crimineux	criminel	adjectif	qualificatif	
crimineux	crimineux	adjectif	qualificatif	
cristien	chrétien	adjectif	qualificatif	
cristïen	chrétien	adjectif	qualificatif	
cristïene	chrétien	adjectif	qualificatif	
cristienes	chrétien	adjectif	qualificatif	
croteuse	crotteux	adjectif	qualificatif	
crueile	cruel	adjectif	qualificatif	
crueiz	cruel	adjectif	qualificatif	
cruël	cruel	adjectif	qualificatif	
cruele	cruel	adjectif	qualificatif	
cruëls	cruel	adjectif	qualificatif	
cruelx	cruel	adjectif	qualificatif	
crueuls	crueux	adjectif	qualificatif	
crueulz	crueux	adjectif	qualificatif	
cruex	crueux	adjectif	qualificatif	
cuarz	quart	adjectif	qualificatif	
cuarz	couard	adjectif	qualificatif	
cuarz	gars	adjectif	qualificatif	
cuinte	cointe	adjectif	qualificatif	
cuinte	quint	adjectif	qualificatif	
culpable	coupable	adjectif	qualificatif	
cumaine	cumain	adjectif	qualificatif	
cumfés	confès	adjectif	qualificatif	
cummun	commun	adjectif	qualificatif	
cummun	cumain	adjectif	qualificatif	
cumunal	communal	adjectif	qualificatif	
curial	curial	adjectif	qualificatif	
curieus	curieux	adjectif	qualificatif	
curios	curieux	adjectif	qualificatif	
curiuse	curieux	adjectif	qualificatif	
cursal	coursal	adjectif	qualificatif	
curtois	courtois	adjectif	qualificatif	
curtois	court	adjectif	qualificatif	
curusçus	courrouceux	adjectif	qualificatif	
cutelle	goutel	adjectif	qualificatif	
cuteulx	coûteux	adjectif	qualificatif	
cuteulx	goutteux	adjectif	qualificatif	
cynk	cinq	adjectif	cardinal	
dairain	derrain	adjectif	qualificatif	
damageous	dommageux	adjectif	qualificatif	
dampnable	damnable	adjectif	qualificatif	
dampneis	damneux	adjectif	qualificatif	
dangereus	dangereux	adjectif	qualificatif	
dangereuses	dangereux	adjectif	qualificatif	
dangereuz	dangereux	adjectif	qualificatif	
dangerouse	dangereux	adjectif	qualificatif	
dareniers	dernier	adjectif	qualificatif	
dariens	derrain	adjectif	qualificatif	
darraiens	derrain	adjectif	qualificatif	
darrainz	derrain	adjectif	qualificatif	
darrayne	derrain	adjectif	qualificatif	
darreinne	derrain	adjectif	qualificatif	
darreyn	derrain	adjectif	qualificatif	
darrien	derrain	adjectif	qualificatif	
darriens	derrain	adjectif	qualificatif	
deboenaire	débonnaire	adjectif	qualificatif	
deboneres	débonnaire	adjectif	qualificatif	
debonnayre	débonnaire	adjectif	qualificatif	
debonoire	débonnaire	adjectif	qualificatif	
decent	décent	adjectif	qualificatif	
decepvable	décevable	adjectif	qualificatif	
decevante	décevant	adjectif	qualificatif	
