form	lemma_def	pos	type	src_mot
fynement	finement	ADVgen	_	_
gaiement	gaiement	ADVgen	_	_
gairs	guère	ADVgen	_	_
gairs	gieres	ADVgen	_	_
généralement	généralement	ADVgen	_	_
generallement	généralement	ADVgen	_	_
glorieusement	glorieusement	ADVgen	_	_
gloriosement	glorieusement	ADVgen	_	_
gloriusement	glorieusement	ADVgen	_	_
graciousement	gracieusement	ADVgen	_	_
gratieusement	gracieusement	ADVgen	_	_
graundement	grandement	ADVgen	_	_
graundement	créantement	ADVgen	_	_
grevousement	greveusement	ADVgen	_	_
griefvement	grièvement	ADVgen	_	_
guères	guère	ADVgen	_	_
habondamment	abondamment	ADVgen	_	_
habondanment	abondamment	ADVgen	_	_
habondaument	abondamment	ADVgen	_	_
haboundanment	abondamment	ADVgen	_	_
habundamment	abondamment	ADVgen	_	_
habundanment	abondamment	ADVgen	_	_
haitiement	haitement	ADVgen	_	_
hanc	ainc	ADVgen	_	_
hardyment	hardiment	ADVgen	_	_
hastyvement	hâtivement	ADVgen	_	_
haultement	hautement	ADVgen	_	_
herraument	erramment	ADVgen	_	_
honestment	honnêtement	ADVgen	_	_
honnorablement	honorablement	ADVgen	_	_
honnourablement	honorablement	ADVgen	_	_
horriblement	horriblement	ADVgen	_	_
hunurablement	honorablement	ADVgen	_	_
hyer	hier	ADVgen	_	_
ias	jà	ADVgen	_	_
ichy	ici	ADVgen	_	_
icí	ici	ADVgen	_	_
icy	ici	ADVgen	_	_
idunches	donc	ADVgen	_	_
idunkes	donc	ADVgen	_	_
idunques	donc	ADVgen	_	_
ïer	hier	ADVgen	_	_
igalment	également	ADVgen	_	_
ignelment	isnellement	ADVgen	_	_
igniaument	isnellement	ADVgen	_	_
ileqe	illuec	ADVgen	_	_
ileque	illuec	ADVgen	_	_
ilequez	illuec	ADVgen	_	_
illecq	illuec	ADVgen	_	_
illecquez	illuec	ADVgen	_	_
illeoques	illuec	ADVgen	_	_
illeq	illuec	ADVgen	_	_
illoqes	illuec	ADVgen	_	_
ilóc	illuec	ADVgen	_	_
ílóc	illuec	ADVgen	_	_
iloches	illuec	ADVgen	_	_
iloek	illuec	ADVgen	_	_
ilukes	illuec	ADVgen	_	_
impetueusement	impétueusement	ADVgen	_	_
importunement	importunément	ADVgen	_	_
inchy	ci	ADVgen	_	_
inchy	enqui	ADVgen	_	_
