form	lemma_def	pos	genre	src_mot	nombre
alegemens	allégement	NOMcom	masc		sg|pl
aleigement	allégement	NOMcom	masc		sg|pl
aleinne	haleine	NOMcom	fem		sg
alemainne	allemagne	NOMcom	fem		sg
alemainne	allemand	NOMcom			
alemelle	alumelle	NOMcom	fem		sg
aletz	aillet	NOMcom	masc		sg|pl
aletz	ailliet	NOMcom	masc		sg|pl
aleyn	alain	NOMcom	masc		sg|pl
aleyn	elin	NOMcom	fem		sg
aleyn	haleine	NOMcom	fem		sg
aleyne	haleine	NOMcom	fem		sg
alez	ale	NOMcom	fem	aleez	sg
alez	allée	NOMcom	fem	aleez	sg
alfe	arfe	NOMcom	fem		sg
alfe	aube	NOMcom	fem		sg
alfe	auve	NOMcom	fem		sg
alfe	faix	NOMcom	masc		sg|pl
alfe	fe	NOMcom	masc		sg|pl
alfe	fief	NOMcom	masc		sg|pl
alfe	pé	NOMcom			
alience	alliance	NOMcom	fem		sg
aligence	allégeance	NOMcom	fem		sg
alissandre	alixandre	NOMcom	masc		sg|pl
aliánce	alliance	NOMcom	fem		sg
allegacion	allégation	NOMcom	fem		sg
allegeancez	allégeance	NOMcom	fem		sg
allegement	allégement	NOMcom	masc		sg|pl
alleluia	alléluia	NOMcom	fem		sg
alleluya	alléluia	NOMcom	fem		sg
allemaigne	allemagne	NOMcom	fem		sg
allemans	allemand	NOMcom			pl-fem|sg-masc|pl-masc
alleston	allaiton	NOMcom	masc		sg|pl
alliance	alliance	NOMcom	fem		sg
alliances	alliance	NOMcom	fem		pl
alloues	alloué	NOMcom	masc		sg|pl
allyé	allié	NOMcom			
almaires	armoire	NOMcom	fem		pl
almarie	armoirie	NOMcom	fem		sg
almodnes	aumône	NOMcom	fem		pl
almodnier	aumônier	NOMcom	masc		sg|pl
almoignes	aumône	NOMcom	fem		pl
almoners	aumône	NOMcom	fem		pl
almoners	aumônier	NOMcom	masc		sg|pl
alni	alni	NOMcom	masc		sg|pl
alooirs	alloir	NOMcom	masc		sg|pl
aloé	aloès	NOMcom	masc		sg|pl
aloén	aloès	NOMcom		aloén	
alpes	alpe	NOMcom	fem		pl
alpha	alpha	NOMcom	masc		sg|pl
alteil	autel	NOMcom	masc		sg|pl
alteir	autel	NOMcom	masc		sg|pl
alteir	autoir	NOMcom	masc		sg|pl
alteir	hauteur	NOMcom	fem		sg
altercations	altercation	NOMcom	fem		pl
alteus	autel	NOMcom	masc		sg|pl
alteus	haste	NOMcom	masc		sg|pl
alteus	haut	NOMcom			pl-fem|sg-masc|pl-masc
altri	autrui	NOMcom	masc		sg|pl
aluchemens	aluchement	NOMcom	masc		sg|pl
alures	allure	NOMcom	fem	alúres	pl
alvens	aubain	NOMcom	masc		sg|pl
alvens	auvent	NOMcom	masc		sg|pl
alvens	haut-vent	NOMcom	masc		sg|pl
alye	alie	NOMcom	fem		sg
alyne	alli	NOMcom	masc		sg|pl
alyne	aluine	NOMcom	fem		sg
alyne	alêne	NOMcom	fem		sg
alyne	haleine	NOMcom	fem		sg
alüun	alun	NOMcom	masc		sg|pl
alüun	aubun	NOMcom	masc		sg|pl
amasserres	amasseur	NOMcom	masc		sg|pl
amasserres	amassure	NOMcom	fem		pl
ambaxade	ambassade	NOMcom	fem		sg
ambaxateur	ambassadeur	NOMcom	masc		sg|pl
ambaxiateurs	ambassadeur	NOMcom	masc		sg|pl
ambicion	ambition	NOMcom	fem		sg
ambleüre	amblure	NOMcom	fem		sg
amblée	emblée	NOMcom	fem		sg
amcombre	encombre	NOMcom	masc		sg|pl
ameire	amer	NOMcom	masc	ameire	sg|pl
amende	amende	NOMcom	fem	ámendéé	sg
amenité	aménité	NOMcom	fem		sg
amerousement	amoureux	NOMcom			
amethystus	améthyste	NOMcom	masc		sg|pl
amiabletez	amiableté	NOMcom	fem		sg
amics	ami	NOMcom	masc		sg|pl
amicx	ami	NOMcom	masc		sg|pl
aministracion	administration	NOMcom	fem		sg
aministraresse	administreresse	NOMcom	fem		sg
amis	ametre	NOMcom	masc	amís	sg|pl
amis	ami	NOMcom	masc	amís	sg|pl
amis	amict	NOMcom	masc	amís	sg|pl
amistei	amitié	NOMcom	fem		sg
amistiéz	amitié	NOMcom	fem		sg
amisté	amitié	NOMcom	fem		sg
amithal	amitié	NOMcom	fem		sg
amité	amitié	NOMcom	fem		sg
amiz	ami	NOMcom			pl-fem|sg-masc|pl-masc
amiz	amict	NOMcom	masc		sg|pl
ammiration	admiration	NOMcom	fem		sg
ammis	ami	NOMcom			pl-fem|sg-masc|pl-masc
ammis	amict	NOMcom	masc		sg|pl
ammis	arme	NOMcom	fem		pl
ammis	armet	NOMcom	masc		sg|pl
ammis	emme	NOMcom	masc		sg|pl
ammis	esme	NOMcom	masc		sg|pl
ammis	âme	NOMcom	fem		pl
ammistié	amitié	NOMcom	fem		sg
ammistié	amnistie	NOMcom	fem		sg
ammor	aimeur	NOMcom	masc		sg|pl
ammor	amer	NOMcom	masc		sg|pl
ammor	amour	NOMcom	masc		sg|pl
ammor	armeur	NOMcom	masc		sg|pl
ammors	aimeur	NOMcom	masc		sg|pl
ammors	amors	NOMcom	masc		sg|pl
ammors	amour	NOMcom	masc		sg|pl
ammors	armeur	NOMcom	masc		sg|pl
ammoteurs	ammoteur	NOMcom	masc		sg|pl
amonestemens	admonestement	NOMcom	masc		sg|pl
amonlt	amont	NOMcom	masc		sg|pl
amonnestemens	admonestement	NOMcom	masc		sg|pl
amonnestement	admonestement	NOMcom	masc		sg|pl
amount	amont	NOMcom	masc		sg|pl
amounte	amont	NOMcom	masc	amounte	sg|pl
amouretes	amourette	NOMcom	fem		pl
amours	amour	NOMcom	masc		sg|pl
amparlier	emparlier	NOMcom			
ampolle	ampoule	NOMcom	fem		sg
ampolles	ampoule	NOMcom	fem		pl
ampostume	empostume	NOMcom	masc		sg|pl
amunt	amont	NOMcom	masc	amúnt	sg|pl
amyes	ami	NOMcom			pl-fem|sg-masc|pl-masc
amytié	amitié	NOMcom	fem		sg
amád	amas	NOMcom	masc		sg|pl
amád	annate	NOMcom	fem		sg
amí	ami	NOMcom			
amórrien	amourie	NOMcom	fem		sg
anattz	amas	NOMcom	masc		sg|pl
anattz	annate	NOMcom	fem		sg
ancanteurs	encanteur	NOMcom	masc		sg|pl
ancesurs	ancêtre	NOMcom	masc		sg|pl
anchalz	angal	NOMcom	masc		sg|pl
anchalz	enchaus	NOMcom	masc		sg|pl
anchalz	enchaux	NOMcom	masc		sg|pl
anchantemant	enchantement	NOMcom	masc		sg|pl
anchantement	enchantement	NOMcom	masc		sg|pl
anchanteors	enchanteur	NOMcom	masc		sg|pl
anchauz	enchaus	NOMcom	masc		sg|pl
anchienne	ancien	NOMcom			
anchiseurs	ancêtre	NOMcom	masc		sg|pl
anchisieurs	ancêtre	NOMcom	masc		sg|pl
anchonitane	ancônitain	NOMcom	masc		sg|pl
anchres	ancre	NOMcom	masc		sg|pl
anciant	ancien	NOMcom			
anciant	enscient	NOMcom	masc		sg|pl
anciant	escient	NOMcom	masc		sg|pl
ancienneté	ancienneté	NOMcom	fem		sg
ancies	ancelle	NOMcom	fem	anciex	pl
anciseurs	ancêtre	NOMcom	masc		sg|pl
anciseurs	inciseur	NOMcom	masc		sg|pl
andices	audice	NOMcom	fem		pl
andices	indice	NOMcom	masc		sg|pl
anel	anel	NOMcom	masc	anél	sg|pl
anel	anneau	NOMcom	masc	anél	sg|pl
anel	annel	NOMcom	masc	anél	sg|pl
anelès	annelet	NOMcom	masc		sg|pl
anemies	ennemi	NOMcom	masc		sg|pl
anemiz	ennemi	NOMcom	masc		sg|pl
anemiz	âme	NOMcom	fem		sg
anemy	ennemi	NOMcom	masc		sg|pl
anemís	ennemi	NOMcom	masc		sg|pl
anete	anette	NOMcom	fem	anette	sg
anette	anette	NOMcom	fem	anette	sg
anettes	anette	NOMcom	fem		pl
angel	ange	NOMcom	masc		sg|pl
angels	ange	NOMcom	masc		sg|pl
angelz	ange	NOMcom	masc		sg|pl
angeu	agneau	NOMcom	masc		sg|pl
angeu	ancel	NOMcom	masc		sg|pl
angeu	ange	NOMcom	masc		sg|pl
angeu	augel	NOMcom	masc		sg|pl
angeu	enjeu	NOMcom	masc		sg|pl
angez	ange	NOMcom	masc		sg|pl
angin	engin	NOMcom	masc		sg|pl
anging	engin	NOMcom	masc		sg|pl
anglois	anglais	NOMcom		angloys	pl-fem|sg-masc|pl-masc
angloix	anglais	NOMcom			pl-fem|sg-masc|pl-masc
angloys	anglais	NOMcom		angloys	pl-fem|sg-masc|pl-masc
angoise	angoisse	NOMcom	fem		sg
angoisse	angoisse	NOMcom	fem	angoysse	sg
angoisse	angoissier	NOMcom	fem	angoysse	sg
angoysse	angoisse	NOMcom	fem	angoysse	sg
angreget	engréger	NOMcom	fem		sg
anguelet	anglet	NOMcom	masc		sg|pl
anguísse	angoisse	NOMcom	fem		sg
anjles	hyle	NOMcom	fem		pl
anjles	île	NOMcom	fem		pl
anjornee	enjornee	NOMcom		anjornee	
anleveüre	enlevure	NOMcom	fem		sg
anneau	anneau	NOMcom	masc		sg|pl
anneaulx	anneau	NOMcom	masc		sg|pl
anneis	agneau	NOMcom	masc		sg|pl
anneis	amés	NOMcom	masc		sg|pl
anneis	anis	NOMcom	masc		sg|pl
anneis	anneau	NOMcom	masc		sg|pl
anneis	annel	NOMcom			pl-fem|sg-masc|pl-masc
anneis	année	NOMcom	fem		pl
anneis	anoi	NOMcom	masc		sg|pl
anneis	aulnoi	NOMcom	masc		sg|pl
anneis	aîné	NOMcom			pl-fem|sg-masc|pl-masc
anneis	ennui	NOMcom	masc		sg|pl
anneis	ânée	NOMcom	fem		pl
