	form_bfm	flp	lemma_bfm	cattex	feats_bfm	lemma_src	file_src_bfm	fl	fp
2257	comandee	comandee_comander_verb	comander	VERppe	VerbForm=Part|Tense=Past	DECT	CharretteKu, CligesKu, PercevalKu	comandee_comander	comandee_verb
2258	quauses	quauses_cause_noun	cause	NOMcom	_	DECT	CharretteKu	quauses_cause	quauses_noun
2259	castelain	castelain_châtelain_noun	châtelain	NOMcom	_	DMF	chartes_hain13	castelain_châtelain	castelain_noun
2260	revien	revien_revenir_verb	revenir	VERcjg	VerbForm=Fin	DECT, DMF	PercevalKu, SEustPr1	revien_revenir	revien_verb
2261	restoree	restoree_restorer_verb	restorer	VERppe	VerbForm=Part|Tense=Past	DECT	ErecKu	restoree_restorer	restoree_verb
2262	hours	hours_ours_noun	ours	NOMcom	_	DMF	SGenPr1	hours_ours	hours_noun
2263	giaunes	giaunes_jaune_adj	jaune	ADJqua	_	DECT	ErecKu	giaunes_jaune	giaunes_adj
2264	revereiz	revereiz_revoir_verb	revoir	VERcjg	VerbForm=Fin	DMF	roland	revereiz_revoir	revereiz_verb
2265	perieres	perieres_perrière_noun	perrière	NOMcom	_	DMF	brut2	perieres_perrière	perieres_noun
2266	seisist	seisist_saisir_verb	saisir	VERcjg	VerbForm=Fin	DECT	ErecKu	seisist_saisir	seisist_verb
2267	Redon	redon_redon_propn	Redon	NOMpro	_	DMF	regcrim1-cat	redon_redon	redon_propn
2268	nunzarent	nunzarent_noncer_verb	noncer	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	nunzarent_noncer	nunzarent_verb
2269	dehachiee	dehachiee_dehachier_verb	dehachier	VERppe	VerbForm=Part|Tense=Past	DECT	PercevalKu	dehachiee_dehachier	dehachiee_verb
2270	mengoit	mengoit_manger_verb	manger	VERcjg	VerbForm=Fin	DMF	SGenPr1	mengoit_manger	mengoit_verb
2271	cheïst	cheïst_chëoir_verb	chëoir	VERcjg	VerbForm=Fin	DECT	CharretteKu, YvainKu	cheïst_chëoir	cheïst_verb
2272	siut	siut_sivre_verb	sivre	VERcjg	VerbForm=Fin	DECT	CharretteKu	siut_sivre	siut_verb
2273	siut	siut_suivre_verb	suivre	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv, roland	siut_suivre	siut_verb
2274	nnum	nnum_nom_noun	nom	NOMcom	_	DMF	AlexisRaM	nnum_nom	nnum_noun
2275	esgrunie	esgrunie_esgrumer_verb	esgrumer	VERcjg	VerbForm=Fin	DMF	roland	esgrunie_esgrumer	esgrunie_verb
2276	sainture	sainture_ceinture_noun	ceinture	NOMcom	_	DMF	regcrim1-cat	sainture_ceinture	sainture_noun
2277	euvré	euvré_ouvrer_verb	ouvrer	VERppe	VerbForm=Part|Tense=Past	DMF	SGenPr1	euvré_ouvrer	euvré_verb
2278	uaz	uaz_val_noun	val	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	uaz_val	uaz_noun
2279	heriditet	heriditet_hérédité_noun	hérédité	NOMcom	_	DMF	cambps	heriditet_hérédité	heriditet_noun
2280	exaulce	exaulce_exhausser_verb	exhausser	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	exaulce_exhausser	exaulce_verb
2281	souvenoit	souvenoit_souvenir_verb	souvenir	VERcjg	VerbForm=Fin	DMF	SBath1	souvenoit_souvenir	souvenoit_verb
2282	bienfais	bienfais_bienfait_noun	bienfait	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	bienfais_bienfait	bienfais_noun
2283	Aedwine	aedwine_edwin_propn	Edwin	NOMpro	_	BFM	brut2	aedwine_edwin	aedwine_propn
2284	bouttoit	bouttoit_bouter_verb	bouter	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	bouttoit_bouter	bouttoit_verb
2285	ainsnés	ainsnés_aîné_adj	aîné	ADJqua	_	DMF	SBath1	ainsnés_aîné	ainsnés_adj
